0	1:234	2:72	3:48	4:28	5:12	6:0	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:136	2:169	3:45	4:25	5:16	6:2	7:4	
0	1:159	2:60	3:80	4:60	5:33	6:4	7:1	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:0	2:398	3:0	4:0	5:0	6:0	7:0	
0	1:141	2:37	3:157	4:49	5:11	6:1	7:1	
0	1:0	2:0	3:0	4:0	5:0	6:199	7:199	
0	1:163	2:55	3:127	4:26	5:17	6:4	7:4	
0	1:231	2:75	3:57	4:30	5:2	6:0	7:1	
0	1:274	2:54	3:15	4:37	5:10	6:2	7:4	
0	1:242	2:73	3:27	4:29	5:13	6:10	7:3	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:188	2:31	3:20	4:137	5:14	6:6	7:1	
0	1:188	2:61	3:77	4:54	5:11	6:3	7:2	
0	1:298	2:29	3:40	4:22	5:4	6:1	7:2	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:230	2:130	3:22	4:11	5:3	6:1	7:0	
0	1:254	2:25	3:83	4:23	5:8	6:2	7:2	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:246	2:20	3:59	4:54	5:11	6:4	7:1	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:399	4:0	5:0	6:0	7:0	
0	1:281	2:76	3:22	4:7	5:6	6:1	7:3	
0	1:92	2:117	3:104	4:49	5:30	6:4	7:2	
0	1:316	2:31	3:30	4:10	5:8	6:2	7:1	
0	1:147	2:104	3:87	4:37	5:7	6:10	7:5	
0	1:0	2:399	3:0	4:0	5:0	6:0	7:0	
0	1:133	2:133	3:133	4:0	5:0	6:0	7:0	
0	1:222	2:110	3:14	4:35	5:11	6:3	7:1	
0	1:291	2:54	3:26	4:18	5:3	6:4	7:1	
0	1:300	2:22	3:57	4:6	5:8	6:2	7:1	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:256	2:58	3:61	4:9	5:10	6:3	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:115	2:124	3:42	4:99	5:10	6:1	7:5	
0	1:1	2:0	3:397	4:0	5:0	6:0	7:0	
0	1:122	2:103	3:61	4:86	5:16	6:4	7:5	
0	1:279	2:26	3:40	4:43	5:7	6:2	7:0	
0	1:213	2:57	3:64	4:52	5:5	6:2	7:2	
0	1:3	2:0	3:396	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:2	2:0	3:0	4:396	5:0	6:0	7:0	
0	1:4	2:393	3:0	4:0	5:0	6:0	7:0	
0	1:2	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:348	2:16	3:18	4:9	5:4	6:1	7:1	
0	1:140	2:89	3:63	4:22	5:71	6:6	7:6	
0	1:0	2:0	3:398	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:112	2:124	3:78	4:63	5:14	6:4	7:2	
0	1:288	2:51	3:34	4:13	5:9	6:0	7:0	
0	1:234	2:72	3:42	4:22	5:13	6:7	7:7	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:303	2:53	3:19	4:12	5:5	6:2	7:2	
0	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
0	1:279	2:53	3:19	4:31	5:10	6:2	7:2	
0	1:257	2:40	3:54	4:29	5:12	6:5	7:1	
0	1:273	2:73	3:37	4:7	5:3	6:1	7:2	
0	1:201	2:86	3:58	4:30	5:12	6:6	7:3	
0	1:199	2:199	3:0	4:0	5:0	6:0	7:0	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:399	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:285	2:44	3:54	4:6	5:4	6:2	7:2	
0	1:258	2:5	3:75	4:47	5:7	6:3	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:256	2:87	3:35	4:13	5:3	6:1	7:2	
0	1:117	2:87	3:145	4:33	5:6	6:1	7:6	
0	1:213	2:50	3:76	4:51	5:4	6:0	7:3	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:1	2:0	3:397	4:0	5:0	6:0	7:0	
0	1:304	2:15	3:44	4:20	5:9	6:2	7:2	
0	1:265	2:32	3:67	4:18	5:9	6:3	7:2	
0	1:1	2:0	3:397	4:0	5:0	6:0	7:0	
